algorithm,k_or_param,status,n_clusters,noise_ratio,stability_ari_mean,silhouette,davies_bouldin,calinski_harabasz,reason,window_size_s
kmeans,2,ok,2.0,0.0,0.9996731737691225,0.08410035193490133,3.1645281122749744,648.2339977128612,,1.0
gmm,2,ok,2.0,0.0,,-0.007649024724518669,2.4628223046253597,374.3414888619949,,1.0
agglomerative,2,ok,2.0,0.0,,0.05033998712100348,3.3720515432058744,456.37420108279923,,1.0
kmeans,3,ok,3.0,0.0,0.98752460052638,0.08179153754601737,3.052915843031805,573.3186052461759,,1.0
gmm,3,ok,3.0,0.0,,0.0048171795724049225,4.2981074249514535,323.7363801566285,,1.0
agglomerative,3,ok,3.0,0.0,,0.05270117947816151,3.922735734603526,375.8543554303109,,1.0
kmeans,4,ok,4.0,0.0,0.986258017985542,0.07908319362223383,2.958196386835237,487.0341704928486,,1.0
gmm,4,ok,4.0,0.0,,0.016361571566419375,3.7541489879984438,318.9225193052334,,1.0
agglomerative,4,ok,4.0,0.0,,0.03971881026353847,3.8231839220960184,313.3218243927055,,1.0
kmeans,5,ok,5.0,0.0,0.9787838301563425,0.07766910896515564,3.03502732436791,430.48951916581865,,1.0
gmm,5,ok,5.0,0.0,,0.01986760037204616,4.246896372373343,276.40610376036875,,1.0
agglomerative,5,ok,5.0,0.0,,0.028593359057808073,3.711014692063332,284.01839296230025,,1.0
kmeans,6,ok,6.0,0.0,0.734529266124745,0.07558419348834057,2.999378475881972,383.9058820928386,,1.0
gmm,6,ok,6.0,0.0,,0.018353561178874607,4.423945906143612,255.57748319436533,,1.0
agglomerative,6,ok,6.0,0.0,,0.031120189885630208,3.6439434162859072,260.18547273845536,,1.0
kmeans,7,ok,7.0,0.0,0.9787173320729684,0.07310459802499177,2.8583878437807653,352.27535704321417,,1.0
gmm,7,ok,7.0,0.0,,0.020364415002869105,4.205449737012311,243.7210857564469,,1.0
agglomerative,7,ok,7.0,0.0,,0.03431455685404999,3.730217767351849,243.2367625981623,,1.0
kmeans,8,ok,8.0,0.0,0.8735721008869483,0.07099572157941712,2.898409885455678,323.03753693119063,,1.0
gmm,8,ok,8.0,0.0,,0.02872822109238596,3.6833492313013525,239.34023545153505,,1.0
agglomerative,8,ok,8.0,0.0,,0.037186883045557666,3.6012225077053728,228.64820642862793,,1.0
kmeans,9,ok,9.0,0.0,0.8110060070365671,0.04966404349833696,2.9096864733342858,300.81954819809704,,1.0
gmm,9,ok,9.0,0.0,,0.02779217019370644,3.8922385575907836,213.1956111365659,,1.0
agglomerative,9,ok,9.0,0.0,,0.042025883967430594,3.415149846654561,217.01780804904774,,1.0
kmeans,10,ok,10.0,0.0,0.651545634402962,0.052661395578412235,2.8124066243035726,284.1518076447621,,1.0
gmm,10,ok,10.0,0.0,,0.028595855350493925,4.033854192321009,204.90986280518462,,1.0
agglomerative,10,ok,10.0,0.0,,0.0410156669656584,3.25626914681686,208.37979149447833,,1.0
dbscan,eps=0.7,ok,0.0,1.0,,,,,,1.0
dbscan,eps=1.0,ok,0.0,1.0,,,,,,1.0
dbscan,eps=1.3,ok,0.0,1.0,,,,,,1.0
dbscan,eps=1.6,ok,0.0,1.0,,,,,,1.0
dbscan,eps=2.0,ok,0.0,1.0,,,,,,1.0
hdbscan,optional,skipped,,,,,,,hdbscan is not installed,1.0
